Original_Keywords,Mapped_Terms,Scores
"Sociology of childhood
Childhood experiences
Health and illness
Social construction
Intergenerational relations
Health policy
Children as social agents
Co-construction of social world
Critical analysis
Child health normality","Sociology
Personhood
Environmental Illness
Social Conformity
Intergenerational Relations
Health Policy
Parent-Child Relations
Social Marginalization
Critical Care
Child Welfare","0.6846
0.6436
0.6182
0.6601
0.9167
0.9766
0.6363
0.6905
0.7256
0.6770"
"Violence
America
Group dynamic
Group therapy
Mental health
Anger management
Domestic violence
Terrorism
Clinical concerns
Treatment levels
Perpetrators
Screening
Group contexts
Empathy
Boundaries","Violence
Chicago
Hydrodynamics
General Practice
Mental Health
Anger Management Therapy
Domestic Violence
Terrorism
Social Problems
Treatment Failure
Penetrance
Mass Screening
Language
Empathy
Ribes","1.0000
0.9740
0.6667
0.8801
0.9339
0.8468
0.9907
1.0000
0.6588
0.8805
0.6215
0.7072
0.6516
1.0000
0.6903"
"Trauma
Dissociation
Self-injury
Suicidality
Nonsuicidal self-injury (NSSI)
Posttraumatic disorders
Childhood maltreatment
Emotion dysregulation
Integrative clinical constructs
Risk assessment
Intervention models
Longitudinal studies
Diverse populations","Trauma Centers
Disarticulation
Self-Injurious Behavior
Suicide
Self-Injurious Behavior
Psychological Trauma
Adult Survivors of Child Abuse
Emotional Intelligence
Computer Systems
Risk Assessment
Linear Models
Observational Study
Population Groups","0.8596
0.6432
0.6742
0.7043
0.5661
0.6857
0.6305
0.6965
0.6410
0.9517
0.7089
0.7329
0.6626"
"Practice evolution
Professional development
Field advancement
Editorial focus
Daily practice
Impact assessment
Five-year outlook","Cultural Evolution
Food Safety
Plant Development
Editorial
Group Practice
Needs Assessment
Income","0.6990
0.9786
0.6364
0.8763
0.8493
0.5725
0.5571"
"Levels of analysis
Cognitive science
Vision
Marr's conception
Information-processing systems
Algorithmic level
Representational level
Cognitive-level concepts
Reductionist neuroscience
Bayesian approaches","Systems Analysis
Cognitive Science
Vision, Low
Pregnancy, Multiple
Information Systems
Almshouses
Models, Educational
Cognitive Science
Neurofeedback
Decision Theory","0.5998
0.9485
0.8245
0.5864
0.8310
0.5120
0.6326
0.7826
0.6163
0.6033"
"Neurodegenerative diseases
Targeted therapeutics
Aged-related disorders
Progressive conditions
No cure or lasting symptomatic therapy
Prodromal phase
Neuronal compensated dysfunction
Therapeutic intervention
Protein homeostasis
Misfolded toxic proteins
Protein trafficking
Cellular organelles
Endosomes, lysosomes, autophagosomes, mitochondria
Protein Clearance in Neurodegenerative diseases
Special Issue on ""Protein Clearance in Neurodegenerative diseases: from mechanisms to therapies""","Neurodegenerative Diseases
Therapeutics
Aged
Social Conditions
Treatment Outcome
Prophase
Ventricular Dysfunction
Play Therapy
Blood Proteins
Protein Splicing
Protein Transport
Organelles
Lysosomes
Protein Deficiency
Protein Modification, Translational","0.9804
0.8020
0.6387
0.6377
0.5748
0.6127
0.5817
0.6852
0.5641
0.6211
0.7475
0.7932
0.5931
0.5325
0.4733"
"Redox processes
Thiols
Signaling pathways
Protein activity
Conformation
Oligomerization
Oxidative stress
Paradigm shift
Redox modifications
Cellular environment
Molecular structure
Reaction mechanisms
Signaling pathways role
Thiols and oxidative processes","Rubredoxins
Thiothixene
Gene Library
Muscle Proteins
Molecular Conformation
Oliguria
Oxidative Stress
Observer Variation
Rubredoxins
Cellular Microenvironment
Water Quality
Reaction Time
Gene Library
Thiocyanates","0.6162
0.7035
0.7472
0.6230
0.8407
0.6986
0.8226
0.5176
0.6184
0.7958
0.9668
0.6743
0.6217
0.5990"
"Federal workers' compensation
Department of Defense (DoD)
Veterans Health Administration (VHA)
Occupational and Environmental Medicine
Supplement
Workers' Compensation Programs
History
Lessons learned
Cooperation
Human resources
Safety
Occupational health
Information sharing
Root cause analysis
Injury prevention","Workers' Compensation
United States Department of Defense
Veterans Health
Occupational Medicine
Dietary Supplements
Workers' Compensation
History
Reversal Learning
Saliva
Health Resources
Safety
Occupational Health
Information Services
Root Cause Analysis
Secondary Prevention","0.7490
0.8454
0.8165
0.7090
0.6661
0.8578
1.0000
0.6143
0.8528
0.7270
1.0000
0.9610
0.6082
0.9214
0.6475"
"Inflammatory mechanisms
Regulators
Inflammatory response
Feedback mechanisms
Modulation
Therapies
Inflammation
Disease resolution
In vivo experiments","Inflammation
Up-Regulation
Inflammation
Feedback
Patient Simulation
Physical Therapists
Inflammation
Disease Management
Animal Experimentation","0.7490
0.6934
0.7634
0.8599
0.6672
0.7215
1.0000
0.6949
0.8268"
"Sustainability
Egg production
Commercial-scale
Housing systems
Coalition for Sustainable Egg Supply (CSES)
Multi-stakeholder group
Research
Animal health and well-being
Environment
Food safety
Worker health and safety
Food affordability
Integrated field study
Poultry Science","Maintenance
Egg White
Computer Systems
Housing
Egg Shell
Committee Membership
Research
Animal Husbandry
Environment
Food Safety
Workplace Violence
Food Deprivation
Sampling Studies
Poultry","0.5889
0.7627
0.6873
0.8530
0.5057
0.5751
1.0000
0.7369
1.0000
0.9968
0.6453
0.7402
0.5110
0.8682"
"Next-generation sequencing
Biological sciences
Environmental sciences
Metagenomes
Metatranscriptomes
CDNA
Archaea
Bacteria
Eukarya
Viruses
Non-model species
Genomics
Transcriptomics
Biodiversity
NGS technologies","High-Throughput Nucleotide Sequencing
Biological Science Disciplines
Earth Sciences
Metagenomics
Transcriptional Activation
NAD
Archaea
Bacteria
Eukaryota
Viruses
Animals, Laboratory
Genomics
Transcription Factors
Biodiversity
Biosensing Techniques","0.6345
0.7731
0.7051
0.7990
0.6711
0.6070
1.0000
1.0000
0.7672
1.0000
0.6909
1.0000
0.7212
1.0000
0.6311"
"On-label drug use
Off-label drug use
Reproductive medicine
FDA-approved uses
Prescription drugs
Disorders
Pregnant women
Risk-benefit ratio
Treatment
Clinical studies","Prescription Drug Overuse
Prescription Drug Overuse
Reproductive Medicine
United States Food and Drug Administration
Prescription Drugs
Learning Disorders
Pregnant Women
Cost-Benefit Analysis
Death
Clinical Study","0.7807
0.7871
0.9155
0.6698
0.9230
0.7230
0.9795
0.6822
0.9823
0.9071"
"Women and children
Vulnerable populations
Maternal and child health
Public health
Sustainable development
Economic development
Global commitment
Millennium Development Goals
Sustainable Development Goals
Neonatal mortality
Under-5 mortality
Maternal mortality
Preventable deaths
Healthcare services
Cost-effective interventions","Mothers
Vulnerable Populations
Maternal-Child Health Centers
Public Health Practice
Economic Development
Economic Development
Cross Protection
United States Agency for International Development
Organisation for Economic Co-Operation and Development
Perinatal Mortality
Child Mortality
Maternal Mortality
Preventive Health Services
Primary Health Care
Costs and Cost Analysis","0.7036
0.8091
0.7415
0.8927
0.7495
0.9630
0.6644
0.5367
0.6192
0.7605
0.5175
0.9178
0.6688
0.8367
0.7319"
"Biopsychosocial processes
Etiology
Internalizing problems
Development
Longitudinal studies
Factors
Processes
Comprehensive understanding
Integrative perspective
Prevalence
Severity","Psychotherapeutic Processes
Etiolation
Social Problems
Plant Development
Observational Study
R Factors
Indexes
Judgment
Integrative Medicine
Prevalence
Fever","0.6178
0.5678
0.6469
0.7800
0.7329
0.6241
0.6908
0.6104
0.8164
1.0000
0.6017"
"Pancreatic cancer
Resectable pancreatic cancer
Oncological resection
Survival advantage
Patient selection
Serum biomarkers
Surgical resections","Pancreatic Neoplasms
Pancreas
Pathology, Surgical
Survival
Patient Safety
Survival Rate
Surgical Procedures, Operative","0.7595
0.6719
0.5713
0.8337
0.8242
0.6721
0.7617"
"Nuclear organization
Reviews
Theme
Cell nucleus
Structure
Function
Molecular mechanisms
Proteins
Interactions
Regulation","Nuclear Matrix
Review
Paint
Cell Nucleus Shape
Molecular Structure
Forms
Biogenesis
Proteins
Interprofessional Relations
Up-Regulation","0.6864
0.8231
0.7554
0.7690
0.7366
0.7053
0.6745
1.0000
0.6832
0.7456"
"Sleep
Child development
Introduction
Monograph
Literature
Growth
Exciting new directions
Conceptual principles
Methodological tools
Importance of sleep
Multiple domains
Theory and research integration
State-of-the-art methodologies
Developmental ecological systems perspective
Longitudinal studies","Sleep
Child Development
Comment
Monograph
Literature
Growth
Theales
Ethical Theory
Genotyping Techniques
Sleep, REM
Catalytic Domain
Research Design
Replica Techniques
Developmental Biology
Observational Study","1.0000
0.9459
0.7569
1.0000
1.0000
1.0000
0.5573
0.6741
0.7258
0.8065
0.6325
0.6681
0.5436
0.6226
0.7329"
"Immunology
Bacterial infection
Control
World's leading cause of death
Podcast
Interview
Guest editor
Carl Nathan
Immune system
Infection control
Public health
Disease prevention
Bacterial pathogens","Immunotherapy
Bacterial Infections
Overall
Cause of Death
Webcasts
Interview
Journal Article
Calluna
Immune System
Infection Control
Public Health Practice
Disease Management
Bacterial Infections","0.8620
0.8644
0.9791
0.5873
0.7800
1.0000
0.7565
0.5457
0.9478
0.8977
0.8927
0.6980
0.7560"
"David Hartley
Madness
Imperfections of reason
Mental functioning
Vibrations of nerves
Newton's theory
Association of ideas
John Locke
Nosology
Nosography","Digital Divide
Wilderness
Form Perception
Mental Status Schedule
Vibrissae
Ethical Theory
Association Learning
Washington
Novobiocin
Portography","0.6013
0.6913
0.5346
0.7267
0.6692
0.7194
0.6128
0.5611
0.5718
0.7888"
"Risk communication
Violent behavior
Offending behavior
Recidivism
Correctional contexts
Forensic contexts
Risk assessment
Numerical risk terms
Categorical risk terms
Statistical literacy
Forensic risk communication research
Medical risk assessment","Risk Assessment
Exploratory Behavior
Obsessive Behavior
Convalescence
Conization
Forensic Medicine
Risk Assessment
Risk Management
Risk Management
Linguistics
Risk Management
Risk Management","0.7981
0.7987
0.7286
0.5075
0.6267
0.8524
0.9517
0.6933
0.6156
0.6002
0.7370
0.8014"
"Periodontal diseases
Peri-implant diseases
Prevention
Consensus conference
European Workshop on Periodontology
High prevalence
Public health issue
Systematic reviews
Meta-reviews
Tailored prevention
Diagnosis
Risk profiling
Gingival bleeding
Periodontal screening
Health promotion","Periodontitis
Peri-Implantitis
Secondary Prevention
Consensus Development Conference
Chronic Periodontitis
Prevalence
Public Health Practice
Literature, Modern
Meta-Analysis
Secondary Prevention
Diagnosis
Risk Management
Gingival Hemorrhage
Periodontal Dressings
Health Promotion","0.7957
0.8160
0.7746
0.8991
0.6436
0.8653
0.8122
0.6903
0.6417
0.6726
1.0000
0.6614
0.7208
0.7745
0.8156"
"Chemical Residue Workshop
North American
Agricultural and Food Chemistry
Symposium
Quality Control
Quality Assurance
Analytical Methods
Contaminants
Food Safety
Environmental Analysis
Feed Analysis
Botanical Samples
Bee Samples","Chemical Engineering
North America
Chemistry, Agricultural
Meeting Abstracts
Quality Control
Total Quality Management
Genotyping Techniques
Water Pollutants, Chemical
Food Safety
Environmental Monitoring
Feedback
Botany
Bees","0.5174
0.9441
0.6815
0.8181
1.0000
0.7673
0.6679
0.5749
1.0000
0.7368
0.7647
0.5600
0.6733"
"Gonadotropin-releasing hormone agonist
Final follicular maturation
In vitro fertilization (IVF)
GnRH agonist trigger
Follicle maturation
Oocyte retrieval
High responders
Ovarian hyperstimulation syndrome (OHSS)
Steroidal luteal support
Fresh embryo transfer
Live birth
Vitrification
Embryo segmentation
Freezing all embryos","Gonadotropin-Releasing Hormone
Female
Infertility, Female
Gonadotropin-Releasing Hormone
Follicular Phase
Oocyte Retrieval
Emergency Responders
Ovarian Hyperstimulation Syndrome
Nutritional Support
Single Embryo Transfer
Live Birth
Vitrification
Embryo Disposition
Embryonic Induction","0.7844
0.5242
0.6688
0.5930
0.7160
0.7570
0.7134
0.8607
0.5031
0.7557
0.8233
1.0000
0.7063
0.6009"
"Genomics
Plant-microbe interactions
Microbial symbionts
Pathogens
Complex microbial communities
Translational research
Insights
Dissemination
Promotion
Articles","Genomics
Plant Roots
Microbial Consortia
Carcinogens
Genes, Microbial
Translational Medical Research
Income
Insemination
Health Promotion
Letter","1.0000
0.6331
0.7537
0.6767
0.6941
0.6861
0.6597
0.7932
0.7896
0.6627"
"Failed back surgery syndrome
Surgery technology
Pathology understanding
Patient-centered approach
Dynamic back
Multimodality approach
Brain pain site attention
Neuro-augmentation
Pain control
Welfare systems
Disability promotion
Successful therapy
Passionate observers
Skillful solutions","Failed Back Surgery Syndrome
Surgery, Computer-Assisted
Pathology
Patient-Centered Care
Back
Multimodal Imaging
Facial Pain
Neurophysins
Pain Management
Social Welfare
Disability Evaluation
Play Therapy
Compassionate Use Trials
Meaningful Use","0.8750
0.7235
0.8086
0.6640
0.7771
0.6915
0.6729
0.6608
0.9450
0.7920
0.8213
0.7348
0.6009
0.5461"
"Mexican-origin families
United States population
Family scholarship
Cultural processes
Gender socialization
Developmental periods
Life transitions
Longitudinal studies
Acculturation
Reciprocal socialization
Interdependence in families
Methodological issues
Future research","Mexican Americans
United States
Family Leave
Cultural Evolution
Socialization
Embryonic Development
Life Change Events
Observational Study
Acculturation
Socialization
Family Conflict
Social Problems
Support of Research","0.7340
0.8784
0.6360
0.7597
0.6703
0.7925
0.7266
0.7329
1.0000
0.7527
0.6325
0.5988
0.8284"
"Chronic pain
Pharmacological treatment
Novel targets
Therapeutic regimes
Individualization
Pain heterogeneity
Analgesic treatment
Nonopioid interactions","Chronic Pain
Pharmacology
Gene Targeting
Therapeutics
Organizations
Pain Perception
Analgesics
Opioid-Related Disorders","0.9462
0.8046
0.6560
0.6542
0.7004
0.7578
0.7399
0.6424"
"Obsessive compulsive disorder (OCD)
Lifespan treatment
Evidence-based treatments
Psychological interventions
Pharmacological interventions
Disability
Mental disorders
DSM-5 classification
Accessibility to care
Specialty certification/accreditation
Canadian Institute for Obsessive Compulsive Disorders (CIOCD)
Accreditation Task Force (ATF)","Obsessive-Compulsive Disorder
Withholding Treatment
Evidence-Based Practice
Psychotherapy, Group
Pharmacological Processes
Disability Evaluation
Mental Disorders
Diagnostic and Statistical Manual of Mental Disorders
Managed Care Programs
Accreditation
Obsessive-Compulsive Disorder
Advisory Committees","0.8148
0.5320
0.6559
0.8134
0.7999
0.7281
0.9574
0.5468
0.7188
0.7864
0.7309
0.6047"
"Solvation Science
Physical Chemistry
Theoretical Chemistry
Industrial Chemistry
Inorganic Chemistry
Organic Chemistry
Biochemistry
Physics
Engineering
Reactions","Solvents
Clinical Chemistry Tests
Ethical Theory
Chemical Industry
Chemistry, Inorganic
Organic Chemistry Processes
Biochemistry
Physics
Engineering
Reaction Time","0.6389
0.7887
0.7021
0.8026
0.7652
0.7991
1.0000
1.0000
1.0000
0.7067"
"Carbohydrate Research
Journal history
Carbohydrate science
International journal
Editor line-up
Electronic publishing
Elsevier Company
Research data archive
Molecular aspects of carbohydrates","Carbohydrate Biochemistry
Self Report
Carbohydrate Biochemistry
Journalism
Writing
Electronic Mail
Account Books
Peer Review, Research
Polysaccharides","0.8623
0.6578
0.8160
0.7664
0.6664
0.7099
0.5375
0.7043
0.6107"
"Behavioral interventions
Academic outcomes
Learning disabilities
Emotional disabilities
Behavioral disabilities
Developmental disabilities
Reading
Science
Social studies
Literature reviews
Intervention studies
Task engagement
School readiness","Behavior Therapy
Educational Measurement
Intellectual Disability
Developmental Disabilities
Behavior Therapy
Developmental Disabilities
Reading
Science
Sampling Studies
Literature
Inventions
Managed Competition
Schools","0.8671
0.5423
0.6983
0.6634
0.7608
0.8548
1.0000
1.0000
0.7774
0.6954
0.6975
0.5662
0.6777"
"Adaptability
Plasticity
Plant science
Organismal response
Morphological changes
Physiological changes
Behavioral changes
Climate change
Agro-climatic adaptation
Phenotypic plasticity
Genotype-environment interaction (GxE)
Ecology
Agricultural science
History of agriculture
Population ecology","Adaptation, Biological
Plasticizers
Plant Pathology
Host vs Graft Reaction
Morphogenesis
Physiological Processes
Behavior Control
Tropical Climate
Climatic Processes
Phenotype
Gene-Environment Interaction
Ecology
Agriculture
Agriculture
Population Control","0.7301
0.6568
0.7610
0.6124
0.7145
0.8560
0.7868
0.6834
0.6766
0.4981
0.7712
1.0000
0.7327
0.7027
0.6186"
"Health system research
Vietnam
Policy-relevant knowledge
Socioeconomic development
Health system improvement
Efficiency and effectiveness
Policy actions
Health of people and communities
Research papers
Insights
Planning, management, policy-making decisions","Health Facility Administration
Vietnam
Knowledge
Child Development
Primary Health Care
Efficiency, Organizational
Patient Rights
Community Integration
Manuscripts
Income
Policy Making","0.6920
1.0000
0.6012
0.7494
0.7713
0.5872
0.6732
0.7421
0.7659
0.6597
0.6163"
"Complementary methods
Two-way street
CCP4 Study Weekend
Introduction
Scientific collaboration
Structural biology
Protein crystallography
Computational methods
Data analysis
Crystallographic techniques","Complementary Therapies
New York
Clinical Conference
Comment
Support of Research
Synthetic Biology
Protein Conformation
Computing Methodologies
Food Analysis
Crystallography","0.7770
0.5655
0.5701
0.7569
0.6812
0.7268
0.8013
0.8423
0.7686
0.8842"
"Veterans' health
Epidemiology
Military personnel
Physical health
Mental health
Research infrastructure
Department of Defense
Department of Veterans Affairs
Clinical databases
International collaboration
Health needs
Global research community
Military exposures","Veterans Health
Epidemiology
Military Medicine
Private Practice
Mental Health
Health Resources
United States Department of Defense
United States Department of Veterans Affairs
Libraries
International Cooperation
Health Status
Support of Research
Military Nursing","0.8822
1.0000
0.9221
0.9435
0.9339
0.6358
0.9293
0.9326
0.6699
0.7054
0.6687
0.7808
0.6807"
"Epidemiology
Bicycle injuries
Risk factors
Serious injury
Prospective case-control study
Hospital emergency departments
Medical examiner's offices
Questionnaire
Injury data
Helmet use
Collision with motor vehicle
Speed
Age
Neck injury
Prevention","Epidemiology
Bicycling
Risk Factors
Hand Injuries
Retrospective Studies
Hospital Departments
Coroners and Medical Examiners
Questionnaires
Hand Injuries
Helminthosporium
Noise, Transportation
Drive
Cells
Neck Injuries
Secondary Prevention","1.0000
0.6900
0.9813
0.6976
0.7147
0.8327
0.6326
0.8148
0.6317
0.6199
0.6297
0.7520
0.9820
0.8211
0.7746"
"Cell biology
G protein signaling
G protein-coupled receptors
Second messengers
Signal encoding
Biosensors
Live cell monitoring
Endosome signaling
Cytoplasmic activators
GIV (Girdin)
Pharmacology","Cell Biology
GPI-Linked Proteins
Receptors, G-Protein-Coupled
Second Messenger Systems
Word Processing
Biosensing Techniques
Monitoring, Physiologic
Endosomes
Cytoplasmic Structures
Agrin
Pharmacology","0.8880
0.7716
0.8242
0.6463
0.5899
0.7720
0.6051
0.7253
0.6286
0.6554
1.0000"
"Companion diagnostics
Personalized medicine
In vitro diagnostics
Targeted drugs
Pharmacotherapy
Biomarker detection
Patient profiling
Multiplex platforms","Diagnostic Equipment
Individualized Medicine
Immunologic Tests
Prodrugs
Pharmacology
Molecular Probes
Cross Protection
Multiplex Polymerase Chain Reaction","0.5203
0.7660
0.6380
0.7836
0.8554
0.5791
0.5814
0.5906"
"Steroid promiscuity
Enzyme action
Diversity
Cytochromes P450 (CYP)
Hydroxysteroid dehydrogenases (HSDs)
Substrates
Conformations
Catalysis
Biological actions
Sterol signaling","Steroid Metabolism, Inborn Errors
Enzyme Assays
Biodiversity
Cytochrome P-450 CYP2C19
Hydroxysteroid Dehydrogenases
Subdural Space
Molecular Conformation
Catalysis
Biological Processes
Sterol Esterase","0.6609
0.8018
0.7311
0.7650
0.8728
0.6871
0.7102
1.0000
0.6877
0.6611"
"Molecular biology databases
Nucleic Acids Research Database Issue
RNAcentral
ValidatorDB
SASBDB
MoonProt
ComPPI
Complex Portal
Cancer-related databases
Genomic basics of disease
Potential drugs and drug targets
NAR online Molecular Biology Database Collection","Databases, Chemical
Nucleic Acids
RNA
Database
Baths
Moon
Piper
Portal System
Early Detection of Cancer
Genetic Predisposition to Disease
Drug Residues
Databases, Genetic","0.6695
0.6724
0.8206
0.6384
0.5716
0.7475
0.5879
0.6413
0.5169
0.6972
0.6793
0.5325"
"Personalized medicine
Genotypes
Molecular phenotypes
Quantified self
Multi-scale models
Microbiome
Immune traits
Metabolic traits
Clinical data
Electronic medical records
Wearable sensor technologies
Phenome
Envirome
Population cohorts
Informatics methodologies","Person-Centered Therapy
Genotype
Phenotype
Self-Assessment
Linear Models
Soil Microbiology
Immune System
Metabolic Phenomena
Data Compression
Medical Record Linkage
Remote Sensing Technology
Phenols
Syndrome
Cohort Studies
Informatics","0.6195
0.8911
0.6325
0.6270
0.7001
0.7949
0.7452
0.7857
0.6771
0.6608
0.7026
0.7548
0.6263
0.6789
0.9071"
"Crowdsourcing
Data mining
Crowd data
Articles
Acknowledgements
References","Crowdsourcing
Data Mining
Crowdsourcing
Letter
Abbreviations
Reference Values","1.0000
0.9468
0.7624
0.6627
0.6992
0.7790"
"Community-based arts initiatives
Science of the arts
Rewards and challenges
Art and science tensions
Social change promotion
Researching community-based arts
Diversity of populations and settings
Values and methods of inquiry
Action-oriented approaches","Martial Arts
Christian Science
Reward
Martial Arts
Social Change
Martial Arts
Population Groups
Qualitative Research
Narrative Therapy","0.6725
0.6699
0.5925
0.5951
0.7004
0.6847
0.6224
0.5737
0.5752"
"Autobiographical memory
Cultural context
Cross-cultural research
Functional usages
Daily life
Childhood to old age
Global understanding
Memory research","Autobiography
Cultural Characteristics
Cross-Cultural Comparison
Recovery of Function
Value of Life
Age Groups
Theales
Memory","0.8166
0.8505
0.7989
0.5700
0.7335
0.7479
0.6670
0.7932"
"Climate change
Land-use change
Landscape processes
Biodiversity
Ecosystem services
Adaptive governance
Norrström catchment
Lake Mälaren
South-central Sweden
Spatiotemporal scales
Interactions
Feedback processes
Future challenges
Society","Tropical Climate
Urban Renewal
Environment, Controlled
Biodiversity
Ecosystem
Adaptation, Biological
Nordefrin
Manilkara
Sweden
Apatites
Interprofessional Relations
Feedback
Health Policy
Societies","0.6834
0.5705
0.6105
1.0000
0.7167
0.6503
0.6380
0.6329
0.7371
0.5838
0.6832
0.7378
0.6771
0.7601"
"Old lesbians
Community
Relationships
Friendship
Well-being
Homophobia
Policy decision
Research analysis
Early research
Future research studies","Barbarea
Light
Ships
Friends
Personal Satisfaction
Homophobia
Decision Trees
Research
Empirical Research
Support of Research","0.5953
0.9245
0.7902
0.7445
0.6681
1.0000
0.7073
0.6789
0.7999
0.8002"
"Nutrition
Microbiome
Annual review
Guest editors
Carlo Agostoni
Kwang Sik Kim
Pediatrics
Department of Clinical Sciences and Community Health
University of Milan
Fondazione IRCCS Cà Granda Ospedale Maggiore Policlinico
Johns Hopkins University School of Medicine
Bloomberg School of Public Health
Johns Hopkins Children's Center
Pediatric Infectious Diseases
Microbiology and Immunology","Nutrition Assessment
Soil Microbiology
Annual Reports
Journalism
Oceania
Korea
Pediatrics
Health Services Research
Universities
Governing Board
Institute of Medicine (U.S.)
Schools, Public Health
Child Day Care Centers
Infectious Disease Medicine
Food Microbiology","0.8904
0.7949
0.8009
0.6743
0.4925
0.6101
1.0000
0.5772
0.6336
0.4273
0.5918
0.6527
0.6958
0.6306
0.6941"
"Practical interventions
Office-based care
Patient care enhancement
Specific interventions
Direct implementation
Low cost
Learning and unlearning
Immediate changes
Reader engagement
Feedback sharing","Inventions
Home Care Services, Hospital-Based
Patient Care Management
Inventions
Program Evaluation
Costs and Cost Analysis
Overlearning
Postmortem Changes
Race Relations
Feedback","0.7659
0.7116
0.6885
0.8667
0.5499
0.7665
0.7802
0.5669
0.5489
0.7026"
"LGBT resilience
Cultural differences
Well-being
Diversity
Representation
Immigration
Marginalized populations
Transgender
Lesbian
Gay
Bisexual
Queer
Questioning","Resilience, Psychological
Cultural Diversity
Personal Satisfaction
Biodiversity
Documentation
Emigration and Immigration
Population Control
Health Services for Transgendered Persons
Melissa
Karaya Gum
Bisexuality
Quebec
Sleep","0.6087
0.8245
0.6681
0.7311
0.7146
0.8271
0.6866
0.6838
0.5345
0.6379
0.7220
0.6985
0.6647"
"Visual modality
Language structure
Conventionalization
Sign language
Gesture
Communication
Deaf communities
Linguistic expression
Co-speech gestures
Semantic integration
Temporal integration
Conventionalization process
Emergence of linguistic structure
Multiple levels of representation
Communicative systems","Visual Perception
Language Therapy
Conization
Sign Language
Gestures
Communication
Deafness
Facial Expression
Speech
Systems Integration
Systems Integration
Conization
Group Structure
Symbolism
Speech Acoustics","0.6908
0.7740
0.7682
0.9010
0.9077
1.0000
0.7489
0.7025
0.7227
0.6332
0.6147
0.6778
0.6045
0.5234
0.5937"
"Quality improvement
Performance measurement
Cancer services
Ontario healthcare system
Learning healthcare system
Radiotherapy capacity
Transformative change
Financial contracting
Quality and access measures
Improvement panel metrics
Population-wide reporting
Renal services expansion","Quality Improvement
Work Performance
Soccer
Ontario
Delivery of Health Care, Integrated
Radiotherapy
Phase Transition
Financial Statements
Total Quality Management
Total Quality Management
Population Surveillance
Renal Replacement Therapy","0.9933
0.7875
0.7381
0.7705
0.6314
0.7089
0.5520
0.7076
0.6483
0.5835
0.6136
0.6299"
"Metacognition
Mentalizing
Psychotherapy
Psychosis
Personality disorders
Self-awareness
Emotional understanding
Thought awareness
Complex self-representation
Interpersonal challenges
Treating clinicians","Origin Recognition Complex
Mental Disorders
Psychotherapy
Psychotic Disorders
Personality Disorders
Awareness
Emotions
Awareness
Self Concept
Interpersonal Relations
Physicians","0.6394
0.7112
1.0000
0.7775
0.9509
0.8065
0.7200
0.7394
0.6810
0.7635
0.7443"
"Public understanding of science
Research
Systematic approach
Academic studies
English-speaking world
United States
United Kingdom
Canada
Australia
New Zealand
Empirical material
Unheard voices
New voices
Other parts of the world","Publications
Research
Income
Sampling Studies
Sign Language
United States
Great Britain
Canada
Australia
New Zealand
Empirical Research
Vocal Cords
Voice
Developed Countries","0.5997
1.0000
0.5859
0.6144
0.6402
1.0000
0.7898
1.0000
1.0000
1.0000
0.5975
0.6613
0.6837
0.5854"
"Sexual and reproductive health
Progress
Outstanding needs
International Conference on Population and Development (ICPD)
Universal access
Maternal mortality ratio (MMR)
Unmet need for modern contraception
Skilled birth attendance
Demographic and Health Surveys
Multiple Indicator Cluster Surveys
Household wealth
HIV incidence and prevalence
Integrated services
Investment in SRH","Sexual and Gender Disorders
Theales
Answering Services
Economic Development
Universal Coverage
Maternal Mortality
Contraception
Live Birth
Dental Health Surveys
Health Care Surveys
Survival Rate
HIV Seroprevalence
Integrative Medicine
Investments","0.7300
0.6327
0.6047
0.5206
0.6368
0.7470
0.5703
0.6907
0.7009
0.5394
0.7397
0.7785
0.6677
0.6498"
"Sleep problems
Adolescence
Public health issue
Biopsychosocial model
Contextual model
Developmental science
Developmental psychopathology
Attention-deficit/hyperactivity disorder (ADHD)
Complex interconnections
Empirical articles
Future research directions","Social Problems
Adolescent
Public Health Practice
Psychotherapeutic Processes
Linear Models
Developmental Biology
Psychology, Developmental
Attention Deficit Disorder with Hyperactivity
Systems Integration
Empirical Research
Support of Research","0.7300
0.9045
0.8122
0.6099
0.6730
0.8800
0.7846
0.8257
0.5739
0.7493
0.7682"
"Environment
Patients
Gametes
Embryos
Fetus
Newborns
Childhood development
Consequences
Views and Reviews","Environment
Patients
Trametes
Embryology
Fetus
Infant, Newborn
Adolescent Development
Public Health
Serial Publications","1.0000
1.0000
0.6921
0.8339
1.0000
0.7372
0.8299
0.6277
0.7528"
"Child analytic principles
Educational models
School consultations
Psychopharmacology
Therapeutic nursery
Special needs schools
Mainstream schools
Psychoanalytic practice
Dyadic work
Play therapy
Deep-sea symbolism
Sexting
In-depth assessment
Enriching exchanges
Communities","Personality Development
Health Education
School Health Services
Psychopharmacology
Therapeutic Community
Education, Special
Mainstreaming (Education)
Psychoanalytic Therapy
Workflow
Play Therapy
Symbolism
Swallows
Concurrent Review
International Educational Exchange
Cities","0.5669
0.7359
0.6932
1.0000
0.6247
0.7057
0.6111
0.9488
0.6643
0.9421
0.6223
0.5669
0.5794
0.5988
0.7994"
