id,title,publication_date,abstract,MeSH
25799301,Co-occurring substance use and mental disorders in the criminal justice system: a new frontier of clinical practice and research.,2015-03-24,"This editorial introduces this special section of the Psychiatric Rehabilitation Journal, which focuses on justice-involved persons with co-occurring mental and substance use disorders (CODs). It contains seven original articles examining CODs among justice-involved populations that vary by gender, age, setting (e.g., community/ court, jail, prison), environment (urban, rural), geographic region, and nationality. (PsycINFO Database Record","Comorbidity|Criminals|Diagnosis, Dual (Psychiatry)|Humans|Mental Disorders|Prevalence|Prisoners|Public Policy|Substance-Related Disorders"
25797905,New methodologies for patients rehabilitation.,2015-03-24,"The present editorial is part of the focus theme of Methods of Information in Medicine titled ""New Methodologies for Patients Rehabilitation"", with a specific focus on technologies and human factors related to the use of Information and Communication Technologies (ICT) for improving patient rehabilitation.
The focus theme explores different dimensions of empowerment methodologies for disabled people in terms of rehabilitation and health care, and to explores the extent to which ICT is a useful tool in this process.
The focus theme lists a set of research papers that present different ways of using ICT to develop advanced systems that help disabled people in their rehabilitation process.","Communication Devices for People with Disabilities|Computer Communication Networks|Persons with Disabilities|Ergonomics|Humans|Power, Psychological|Rehabilitation|Robotics|Telerehabilitation|Transfer, Psychology|User-Computer Interface"
"25796591
15937739
22135350
17635659
17015290
15476646
20855630
20961628
23922297
23653515
23016939
18081746
34892972
12206243
22904096
21460535
2401635
19961330
22317988
11015715
22500853
24297877
22960284
23878507
19545439
19416822
18442407
23106702
18302191
23468901
27395533
23134210
21535466
19407789
22270335
16690327
12125068
23765280
20413793
21708762
24520404
12867979","Soft Bodies, Hard Jaws: An Introduction to the Symposium, with Rotifers as Models of Jaw Diversity.",2015-03-23,"Jaws have evolved numerous times in the animal kingdom and they display a wide variety of structural, compositional, and functional characteristics that reflect their polyphyletic origins. Among soft-bodied invertebrates, jaws are known from annelids, chaetognaths, flatworms, gnathostomulids, micrognathozoans, mollusks, rotifers, and several ecdysozoans. Depending on the taxon, jaws may function in the capture of prey (e.g., chaetognaths and flatworms), processing of prey (e.g., gnathostomulids and onychophorans), or both (e.g., rotifers). Although structural diversity among invertebrates’ jaws is becoming better characterized with the use of electron microscopy, many details remain poorly described, including neuromuscular control, elemental composition, and physical characteristics, such as hardness and resistance to wear. Unfortunately, absence of relevant data has impeded understanding of their functional diversity and evolutionary origins. With this symposium, we bring together researchers of disparately jawed taxa to draw structural and mechanistic comparisons among species to determine their commonalities. Additionally, we show that rotifers’ jaws, which are perhaps the best-characterized jaws among invertebrates, are still enigmatic with regard to their origins and mechanics. Nevertheless, technologies such as energy dispersive X-ray spectroscopy (EDX) and 3D modeling are being used to characterize their chemical composition and to develop physical models that allow exploration of their mechanical properties, respectively. We predict that these methods can also be used to develop biomimetic and bioinspired constructs based on the full range of the complexity of jaws, and that such constructs also can be developed from other invertebrate taxa. These approaches may also shed light on common developmental and physiological processes that facilitate the evolution of invertebrates’ jaws.",Animals|Biological Evolution|Jaw|Rotifera
25790841,"Editorial: subjective perceptions of memory functioning in old age - nature, correlates, and developmental trajectories.",2015-03-21,"Subjective memory complaints are often used as diagnostic criteria for several neurocognitive disorders. Although a number of studies have examined subjective memory and its associations with memory functioning in adulthood and old age, it is still an open question whether subjective perceptions of one's memory indicate actual memory functioning or whether they are rather derived from factors other than memory, such as depressive symptoms. The studies in this special section examine subjective perceptions of memory functioning and their associations with objectively measured memory performance in general and in clinical populations. The four articles adopt cross-sectional and longitudinal methodologies and offer key insights into the nature, correlates, and developmental trajectories of subjective memory. To begin with, the studies compiled in this special section demonstrate that changes in subjective memory perceptions are indeed associated with changes in memory performance [Zimprich and Kurtz, this issue, pp. 223-231], but the size of associations between levels of and changes in subjective memory and memory performance is in part modulated by personality characteristics and depressive symptoms [Hülür et al., this issue, pp. 232-240]. Second, the studies compiled here show that factors other than memory are also closely associated with memory perceptions, including functional health as well as domain-general and health-specific control beliefs [Luszcz et al., this issue, pp. 241-250]. Third, the study by Thompson et al. [this issue, pp. 251-257] shows that self- and informant-reports of retrospective and prospective memory difficulties are not associated with performance-based measures and does not sufficiently differentiate between healthy controls and patients diagnosed with mild cognitive impairment or dementia. In our editorial, we put these findings in perspective and discuss implications for research and practice. To extend our knowledge, we conclude by outlining two key avenues for future research: (i) longitudinal multivariate studies of the construct space surrounding subjective memory and (ii) the viability of experience sampling studies with daily or hourly measurements to tackle some of the mechanisms underlying these associations.",Aged|Aging|Diagnostic Self Evaluation|Female|Geriatrics|Humans|Male|Memory|Memory Disorders|Perception
25788015,"Reservations about the conclusions of the interdivisional (APA Divisions 12 & 29) task force on evidence-based therapy relationships: what do we know, what don't we know?",2015-03-20,"We offer a critical and constructive appraisal of the conclusions provided by the Interdivisional (American Psychological Association [APA] Divisions 12 & 29) Task Force on Evidence-Based Therapy Relationships. We highlight problems in overlapping terminology and definitions, as well as problems in the conduct of its meta-analyses (i.e., duplication of studies between reviews, inappropriate study inclusion, and use of measures of specific constructs for the calculation of effects for multiple relationship elements). On this basis, we express reservation about the conclusions offered by the APA Task Force. This special issue explores whether there are other therapeutic relationship elements that warrant consideration and further study. We were particularly interested in those elements that showed promise based on empirical or theoretical grounds, and in each article, we asked for an account of how the case formulation would guide the methods of adaptation for each individual client, and how the element would contribute to clinically relevant changes.","Evidence-Based Practice|Humans|Meta-Analysis as Topic|Professional-Patient Relations|Psychotherapy|Societies, Scientific"
25778459,"Special Issue Introduction: Adolescents and Young Adults With LD and/or ADHD-Theoretical, Empirical, and Practical Perspectives.",2015-03-18,"The series of articles presented in this special issue focus on investigating two highly relevant objectives for adolescents and young adults with learning disabilities and/or attention-deficit/hyperactivity disorder: (a) examination of neuropsychological, educational, familial, and socioemotional features among individuals with these disabilities, in the adolescence and young adulthood developmental phases, and (b) exploration of specific dimensions of interventional programs and contextual (e.g., class) environments aiming to enhance these youngsters' academic achievements. Corresponding with these objectives, the six studies in this special issue provide new evidence regarding these two major topics, utilizing mixed qualitative and quantitative data analysis methods.",Adolescent|Adult|Attention Deficit Disorder with Hyperactivity|Humans|Learning Disabilities|Young Adult
"25773396
1770964
22288576
22360546
22394424
20595427
25006969
21300945
24256444
15631580
25099360",Editorial: The shape of the nosology to come in developmental psychopathology.,2015-03-17,"The field has embarked on an effort to better integrate neurobiological and psychological dimensions of functioning with putative psychopathological syndromes. If successful, this effort aims to be a turning point as impactful as the change, a century ago, away from the study of symptom dimensions and toward the study of psychopathological syndromes. New statistical and neurobiological methods and findings hold considerable promise in this regard, and several papers in the present issue underscore these ongoing and important new directions. For this proposed direction to succeed, however, three guiding principles are necessary. First, the syndromal approach must continue to be viewed as provisional, and not reified. Second, in contrast, individual dimensions of neurobiology, psychology, personality, or symptoms should not be decontextualized but considered in relation to other traits and dimensions, syndromal configurations. Major clinical syndromes cannot be ignored. Third, following the Kraepelian insights of a century ago in addition to the more recent insights of developmental psychopathlogy, trait and dimension aspects of psychopathology need to be understood in their developmental context. Whether an integrated dimensional-categorical-developmental understanding of psychopathology can be extended to the entire nosology or only parts of it remains to be seen.",Humans|Mental Disorders|Neurobiology|Psychopathology
25771022,Reflections on HIS 2014: In praise of enthusiasts.,2015-03-17,"Medical conferences have had a bad press recently. They have been accused of leaving nothing but indifferent research and an enormous carbon footprint. They are also likely to contribute to 'intervention bias' in healthcare, in that the speakers tend to be selected from among the more enthusiastic interventionists and charismatic optimists. But this weakness is arguably also an important strength, for they can be the vehicle by which participants are inspired to innovate and evaluate. It is difficult to predict the outcome of interventions aimed at prevention and control of infection because they involve interactions between people and complex systems, not to mention the invisible agents of infection. Progress therefore depends largely on the empirical approach - trial and error. In this context we need both enthusiasts to inspire trial and sceptics to expose error. Conferences deserve support for encouraging debate between enthusiasts and sceptics, for providing a forum for cross-fertilization between sub-specialties, and for inspiring trainees as well as practitioners. The papers presented in this issue of JHI illustrate the wide range of contemporary challenges in healthcare-associated infection, and summarize the 'state of the art' of infection prevention and control.","Cross Infection|Disease Transmission, Infectious|Health Facilities|Humans|Infection Control"
25768790,Research Forum on Changes in Sensory Perception in Middle-Aged Adults: A Summary of a Special Session at Hearing Across the Lifespan (HEAL) 2014.,2015-03-15,"The purpose of this article is to introduce the special research forum on sensory-processing changes in middle-aged adults.
This is a brief written introduction to the special session, which included five presentations, each emphasizing a slightly different aspect of sensory perception.
The effects of aging on sensory processing, including auditory processing and speech perception, are not confined to older adults but begin in middle age in many cases.",Aging|Auditory Perception|Congresses as Topic|Humans|Middle Aged|Perception|Speech Perception
25762380,Narrative health psychology: once more unto the breach. Introduction.,2015-03-13,"In this editorial, we position narrative health psychology as a variety of narrative psychology, a form of qualitative research in health psychology, and a psychological perspective that falls under the interdisciplinary term narrative health research. The aim of this positioning is to explore what are the most important features of the proposed approach and how they are relevant. We illustrate each positioning with the scope and diversity of narrative health psychology brought together in this special issue. Finally, we reflect on where narrative health psychology is now and how it could develop in the future.",Behavioral Medicine|Biomedical Research|Humans|Interdisciplinary Communication|Narration
25760921,"Connecting a sociology of childhood perspective with the study of child health, illness and wellbeing: introduction.",2015-03-12,"In the last decades we have seen a growing interest in research into children's own experiences and understandings of health and illness. This development, we would argue, is much stimulated by the sociology of childhood which has drawn our attention to how children as a social group are placed and perceived within the structure of society, and within inter-generational relations, as well as how children are social agents and co-constructors of their social world. Drawing on this tradition, we here address some cross-cutting themes that we think are important to further the study of child health: situating children within health policy, drawing attention to practices around children's health and well-being and a focus on children as health actors. The paper contributes to a critical analysis of child health policy and notions of child health and normality, pointing to theoretical and empirical research potential for the sociology of children's health and illness.",Child|Child Health|Child Welfare|Humans|Sociology
25760783,Toward understanding and treating violence in America: some contributions from group dynamic and group therapy perspectives: introduction to part II.,2015-03-12,"The co-editors of the journal's two special issues on ""Violence in America"" from group psychotherapy and mental health standpoints review the articles in Part I and introduce the articles in Part II. The latter includes articles on anger management in groups, group psychotherapy for domestic violence, domestic ""homegrown"" terrorism, and two general commentaries. The co-editors provide broad reference points for the focus on clinical concerns, levels of treatment, variations in types of perpetrators, screening for groups, and the group-as-a-whole, relational, and social contexts of violence. Whether in small therapy groups, social interventions, or society's management of violence, empathy, boundaries, holding, and containment must be provided in such a way that they prevent violent acts while healing the hurts and shame that underlie violence in all its forms. Therapists' familiarity with these issues in their work can contribute fruitfully to treatment efforts and addressing a pressing social problem.","Aggression|Empathy|Humans|Psychotherapy, Group|United States|Violence"
25760316,Self-injury and suicidality: the impact of trauma and dissociation.,2015-03-12,"In the growing research literature on nonsuicidal self-injury (NSSI) and suicidality (SA), there are many questions still unresolved about the role played by exposure to traumatic stressors (including but not limited to childhood maltreatment) and posttraumatic disorders (including dissociative features and disorders). In this special issue of the Journal of Trauma & Dissociation, a review article and 4 empirical studies attempt to provide additional insight into the relationship of traumatization and dissociation to NSSI and SA. The review article describes similarities and differences in the relationships that have been empirically documented between trauma exposure and posttraumatic stress or dissociative symptoms with NSSI versus SA and highlights the need for research to identify and test integrative clinical constructs, such as emotion dysregulation, in order to develop systematic risk, assessment, and intervention models. The empirical reports provide illustrative examples of conceptually and clinically integrated research on traumatic stress, dissociation, and NSSI and SA. Their findings offer a more nuanced picture of the potential role of different forms and degrees of dissociation in SA and NSSI and suggest that dissociation and emotion dysregulation may play a mediating role linking childhood maltreatment and adult or adolescent NSSI. In this introduction, we briefly summarize key points from the special issue articles and point out directions that their findings suggest for future research, including incorporating multiple predictors in studies of NSSI and SA, utilizing longitudinal studies to assess the etiology and course of NSSI and SA, and sampling diverse populations.","Dissociative Disorders|Humans|Risk Factors|Self-Injurious Behavior|Stress Disorders, Post-Traumatic|Suicide"
25756070,How I changed my practice in the last five years and what is likely to change in the next five years.,2015-03-11,The fast development of our field in the last decades has had significant impact on the way we practice our profession. This year my editorials will focus on the impact of these developments on my own daily practice.,"Endoscopy|Humans|Otolaryngology|Paranasal Sinus Diseases|Practice Management, Medical"
25755213,Thirty Years After Marr's Vision: Levels of Analysis in Cognitive Science.,2015-03-11,"Thirty years after the publication of Marr's seminal book Vision (Marr, 1982) the papers in this topic consider the contemporary status of his influential conception of three distinct levels of analysis for information-processing systems, and in particular the role of the algorithmic and representational level with its cognitive-level concepts. This level has (either implicitly or explicitly) been downplayed or eliminated both by reductionist neuroscience approaches from below that seek to account for behavior from the implementation level and by Bayesian approaches from above that seek to account for behavior in purely computational-level terms.","Anniversaries and Special Events|Cognitive Science|Humans|Vision, Ocular"
25749373,Neurodegenerative diseases in the era of targeted therapeutics: how to handle a tangled issue.,2015-03-10,"Neurodegenerative diseases are age-related and relentlessly progressive with increasing prevalence and no cure or lasting symptomatic therapy. The well-recognized prodromal phase in many forms of neurodegeneration suggests a prolonged period of neuronal compensated dysfunction prior to cell loss that may be amenable to therapeutic intervention. Although most efforts to date have been focused on misfolded toxic proteins, it is now clear that widespread changes in protein homeostasis occur early in these diseases and understanding this fundamental biology is key to the design of targeted therapies. What has emerged from molecular genetics and animal studies is a previously less appreciated association of neurodegenerative diseases with defects in the molecular regulation of protein trafficking between cellular organelles, especially the intricate network of endosomes, lysosomes, autophagosomes and mitochondria. Here we summarized the broader concepts that stemmed from this Special Issue on ""Protein Clearance in Neurodegenerative diseases: from mechanisms to therapies"". This article is part of a Special Issue entitled 'Neuronal Protein'.",Animals|Humans|Molecular Targeted Therapy|Neurodegenerative Diseases
"25746478
7499358
7569979
25499854
25277419
25091901
25452140
25261734
25433365
22364280
23163700
12595536
22657737
20136510
22325349",Introduction: What we do and do not know regarding redox processes of thiols in signaling pathways.,2015-03-10,"Due to their susceptibility towards redox modification, protein thiols represent primary targets for the modulation of protein activity, conformation and oligomerization. Until fairly recently, such modifications were considered ""damage"" as a result of oxidative stress, before researchers recognized their physiological importance for biologic signaling. This paradigm shift, and the associated necessity to accurately characterize and quantify the various pathways of thiol redox modifications not only for specific proteins, but also within the cellular environment, has enticed researchers to take a close look at the impact of environment and molecular (protein) structure on these reactions. This Special Issue on Redox Biology of Thiols in Signaling Pathways is the result of a workshop organized at the 2013 Annual Meeting of the Society for Free Radical Biology and Medicine in San Antonio, Texas, summarizing the contributions from many of the presenters. It will provide a stimulating synopsis on what is known, and what is not known, about the reaction mechanisms which underlie the role of thiols and oxidative processes in signaling pathways.",Animals|Biocatalysis|Cysteine|Disulfides|Electrons|Free Radicals|Glutathione|Humans|Kinetics|Oxidation-Reduction|Oxidoreductases|Signal Transduction|Sulfhydryl Compounds|Thermodynamics
25741608,Federal workers' compensation programs: Department of Defense and Veterans Health Administration experiences.,2015-03-06,"The objective of this article is to introduce the reader to this special supplement to the Journal of Occupational and Environmental Medicine regarding Federal Workers' Compensation Programs.
The short history of both the VHA and DoD Federal Workers' Compensation Programs are provided and a short synopsis of each author's article is provided.
The lessons learned from the articles in the supplement are summarized in this article and 6 key findings are highlighted.
Cooperation between human resources workers' compensation personnel, safety and occupational health personnel is a must for successful management of the WC program. Information and data sharing are critical for root cause and injury prevention, case management, and cost containment efforts. Enhancing efforts in these areas will save an estimated $100 million through cost avoidance efforts.",Cooperative Behavior|Federal Government|Humans|Occupational Health|Personnel Management|United States|United States Department of Defense|United States Department of Veterans Affairs|Workers' Compensation
25737583,Focus issue: Inflammatory mechanisms.,2015-03-05,"Research published in Science Signaling identifies previously uncharacterized regulators of the inflammatory response, characterizes feedback mechanisms that modulate inflammation, and demonstrates potential therapies to resolve inflammatory diseases in vivo.",Animals|Humans|Inflammation|Inflammation Mediators
"25737565
21177465
21177464",The Coalition for Sustainable Egg Supply project: An introduction.,2015-03-05,"In the United States, empirical information on the sustainability of commercial-scale egg production is lacking. The passage of state regulations specific to hen housing created urgency to better understand the effects of different housing systems on the sustainability of the egg supply, and stimulated the formation of a coalition, the Coalition for a Sustainable Egg Supply (CSES), to conduct research on this topic. The CSES is a multi-stakeholder group with 27 members, including food manufacturers, research institutions, scientists, restaurants, food service, retail food companies, egg suppliers, and nongovernmental organizations. A commercial-scale study was developed to better understand the effect of 3 housing systems (conventional cage, enriched colony, and cage-free aviary) on 5 areas related to a sustainable egg supply. These 5 sustainability areas represent effects on people, animals, and the environment: animal health and well-being, environment, food safety, worker health and safety, and food affordability. Five teams of scientists, each associated with a sustainability area, conducted an integrated field study at a commercial site in the upper Midwest through 2 flock cycles in 3 housing systems. This paper provides a brief overview of the CSES project to serve as an introduction for the papers that follow in this volume of Poultry Science.","Animal Husbandry|Animal Welfare|Animals|Eggs|Environment|Food|Food Safety|Housing, Animal|Humans|Midwestern United States|Occupational Health|Poultry|Social Responsibility"
"25736916
25297844
25216965
25681232
25676013
20441614
22301291
22522955
18580940
25648957
25613325
271968
25351554
25666920
25652231
25233990",Next-generation sequencing as a powerful motor for advances in the biological and environmental sciences.,2015-03-05,"Next-generation sequencing (NGS) provides unprecedented insight into (meta)genomes, (meta)transcriptomes (cDNA) and (meta)barcodes of individuals, populations and communities of Archaea, Bacteria and Eukarya, as well as viruses. This special issue combines reviews and original papers reporting technical and scientific advances in genomics and transcriptomics of non-model species, as well as quantification and functional analyses of biodiversity using NGS technologies of the second and third generations. In addition, certain papers also exemplify the transition from Sanger to NGS barcodes in molecular taxonomy.","Biodiversity|DNA Barcoding, Taxonomic|Ecology|Gene Expression Profiling|Genomics|High-Throughput Nucleotide Sequencing"
25726701,Introduction: on-label and off-label drug use in reproductive medicine.,2015-03-03,"This Views and Reviews article examines FDA-approved uses of prescription drugs, as well as common off-label uses of drugs for several disorders that are frequently seen in reproductive medicine. Off-label drug use is ubiquitous in reproductive medicine, a fact that may be related to the disincentives to formally study these drugs in a potentially vulnerable population (i.e., pregnant women). It behooves clinicians to discuss with patients the risk-benefit ratio of treatment, and whether a treatment is FDA-approved for that condition. Researchers, seeking better data on effects of these drugs, may find fodder for future clinical studies in these articles.",Biomedical Research|Drug Approval|Drug Labeling|Drug Utilization|Female|Humans|Off-Label Use|Pregnancy|Prescription Drug Misuse|Reproductive Medicine|United States|United States Food and Drug Administration
25725760,Women and children first.,2015-03-03,"Women and children first! is a phrase rather infamously associated with the sinking Titanic. Although without basis in maritime law, it reflects an ethical imperative to protect those who historically are perceived as the most vulnerable in times of peril, diametrically opposed to the skewed survival-of-the-fittest posture. (Women are of course as fit or fitter than men, but that would take another editorial.) Global commitment to protecting maternal and child health (MCH) is integral to public health, and to sustainable social and economic development as well. The World Bank estimates that the global economic burden of disease could be reduced by up to 30% with optimal implementation of half a dozen cost-effective and affordable public health and clinical services: family planning, antenatal and delivery care, immunization, integrated management of childhood illness and HIV/AIDS prevention. The UN recognized MCH as integral to its Millennium Development Goals. Then last year, the Open Working Group on Sustainable Development Goals post-2015 set specific MCH targets for the world: Goal 3 (Ensure healthy lives and promote wellbeing for all at all ages) includes ending preventable neonatal and under-5 mortality by 2030 and reducing the global maternal mortality ratio to 70 per 100,000 live births (Cuba's was 38.9 in 2013).",Child|Child Health Services|Cuba|Female|Healthy People Programs|Humans|Male|Maternal Health Services|Pregnancy
"25724328
20048222
24659133
18370618
23499382
16952767
22836287
24527802
10102726",Introduction to the Special Section: Biopsychosocial Processes in the Etiology and Development of Internalizing Problems.,2015-03-01,"In recent years, empirical attention to the etiology and development of internalizing problems has increased, alongside the growing recognition of their prevalence and severity. A comprehensive understanding of internalizing problems requires an integrative biopsychosocial perspective. The five empirical papers in this special section present findings from five longitudinal studies that reflect this perspective, and shed new light on the multiplicity of factors and processes that are involved in the development of internalizing problems. This brief introduction unpacks the biopsychosocial construct and highlights the points of conceptual commonality that link the articles.","Anxiety|Depression|Humans|Models, Psychological"
"25714403
24399786
21620466
22968073
24368638
16269290
24146342
24522797
25273947
24131140
21561347
23797701
22079848
24322752",Which patients with resectable pancreatic cancer truly benefit from oncological resection: is it destiny or biology?,2015-02-26,Pancreatic cancer has a dismal prognosis. A technically perfect surgical operation may still not provide a survival advantage for patients with technically resectable pancreatic cancer. Appropriate selection of patients for surgical resections is an imminent issue. Recent studies have provided an important clue on what serum biomarkers may be used to select out the patients who would unlikely benefit from the surgical resection.,"Biomarkers, Tumor|Humans|Pancreatic Neoplasms|Prognosis"
25706897,Nuclear organization.,2015-02-24,This article discusses three reviews on the theme of nuclear organization.,"Animals|Cell Nucleus|Chironomidae|Chromosomal Puffs|Eukaryotic Cells|Nuclear Lamina|Ribosomes|Transcription, Genetic"
25704732,I. Sleep and development: introduction to the monograph.,2015-02-24,"Literature on sleep and child development is growing rapidly in exciting new directions across several disciplines and with this comes a need for guiding conceptual principles and methodological tools. In this introductory chapter, the importance of sleep for child development across multiple domains is highlighted. The aims of this monograph are presented and pertain to the need to consider and integrate theory and research across multiple disciplines and use state-of-the-art methodologies. A developmental ecological systems perspective adapted to sleep illustrates the multiple levels of influence and their importance in the study of child sleep and development. A focal aim is to provide examples of longitudinal studies linking sleep with child development, which are presented in seven chapters of this volume.","Adolescent|Child|Child Development|Child, Preschool|Circadian Rhythm|Cultural Characteristics|Humans|Infant|Infant, Newborn|Longitudinal Studies|Parent-Child Relations|Sleep|Sleep Wake Disorders"
"25703548
15496893
22745440
25271470
17342145
19286131
25703552
25703554
25703550
25703553
25703557
25703558
25703559
25703561
25703562
25703555
25703556
25703549
25703560
25703564
25703563
25703569
25703571
25703568
20495566
25703566
25703551
25703567
17943121
25703572
25703565
25703570",What can immunology contribute to the control of the world's leading cause of death from bacterial infection?,2015-02-24,Video podcast available Go to www.immunologicalreviews.com to watch an interview with Guest Editor Carl Nathan.,Bacterial Infections|Cause of Death|Humans|Mycobacterium tuberculosis|Tuberculosis
25698690,David Hartley's views on Madness: With an introduction by GE Berrios.,2015-02-24,"The psychiatric aspects of David Hartley's writings have received less attention than the rest of his work. This Classic Text deals with Section VI of his Observations on Man …, namely, the 'Imperfections of the rational Faculty'. Hartley defines madness as an imperfection of reason that can be temporary or enduring. He makes use of his model of mental functioning to differentiate between eight clinical categories of madness, each representing a different pattern of vibrations of the nerves. Hartley developed this model based on Newton's theory of vibrations and, to explain the complexity of mental acts and entities, he combined it with his own version of the mechanism of Association of Ideas borrowed from John Locke. Much work needs to be done to identify the provenance of Hartley's nosology and nosography.","England|History, 18th Century|Humans|Mental Disorders|Psychiatry"
25693950,Communicating the risk of violent and offending behavior: review and introduction to this special issue.,2015-02-20,"How to communicate risk of recidivism in correctional and forensic contexts has been a subject of scholarly discussion for two decades. This emerging literature, however, is sparse compared with studies on the assessment of risk for violent and offending behavior. In this special issue of Behavioral Sciences and the Law, we have gathered together empirical and review papers exemplifying promising directions and methodologies. We begin with a review of the state of the field, and lessons that can be drawn from research into medical risk assessment and risk communication, finding that many of the same principles apply to the forensic context. How risks are framed, and how numerate assessors are, affects how risk information is understood and applied. We discuss the existing research bearing on these issues, as well as the conceptual, practical, empirical, and legal implications of communicating risk using numerical or categorical risk terms. Along with the seven articles in this volume, we suggest directions for future research on measuring and communicating change, understanding and managing the statistical literacy of those who use and communicate risk assessments, and developing a theoretical framework for forensic risk communication research. We hope this volume will help integrate and invigorate research into forensic risk communication.",Communication|Crime|Humans|Recurrence|Risk|Violence
25683242,"Primary and secondary prevention of periodontal and peri-implant diseases: Introduction to, and objectives of the 11th European Workshop on Periodontology consensus conference.",2015-02-17,"Periodontitis prevalence remains high. Peri-implantitis is an emerging public health issue. Such a high burden of disease and its social, oral and systemic consequences are compelling reasons for increased attention towards prevention for individuals, professionals and public health officials.
Sixteen systematic reviews and meta-reviews formed the basis for workshop discussions. Deliberations resulted in four consensus reports.
This workshop calls for renewed emphasis on the prevention of periodontitis and peri-implantitis. A critical element is the recognition that prevention needs to be tailored to the individual's needs through diagnosis and risk profiling. Discussions identified critical aspects that may help in the large-scale implementation of preventive programs: (i) a need to communicate to the public the critical importance of gingival bleeding as an early sign of disease, (ii) the need for universal implementation of periodontal screening by the oral health care team, (iii) the role of the oral health team in health promotion and primary and secondary prevention, (iv) understanding the limitations of self-medication with oral health care products without a diagnosis of the underlying condition, and (v) access to appropriate and effective professional preventive care.
The workshop provided specific recommendations for individuals, the oral health team and public health officials. Their implementation in different countries requires adaptation to respective specific national oral health care models.","Consensus Development Conferences as Topic|Cost of Illness|Dental Plaque|Dentin Sensitivity|Early Diagnosis|Gingival Recession|Gingivitis|Halitosis|Health Education, Dental|Health Promotion|Health Services Accessibility|Humans|Mass Screening|Peri-Implantitis|Periodontal Diseases|Primary Prevention|Risk Assessment|Secondary Prevention|Self Medication|Tooth Wear"
25682880,51st North American Chemical Residue Workshop.,2015-02-17,"Manuscripts collected in this 51st North American Chemical Residue Workshop (NACRW) Symposium issue of the Journal of Agricultural and Food Chemistry (JAFC) were originally presented at the 51st NACRW meeting. The 2014 NACRW JAFC symposium collects 14 publications representing the broad range of topics in chemical analyses presented at the 2014 meeting. These include the analysis of chemical residues and contaminants in food, environment, feed, botanical, and bee samples as well as the application of quality control/quality assurance protocols in routine and method development.",Animal Feed|Drug Residues|Environmental Pollutants|Food Contamination
25681856,Introduction: Gonadotropin-releasing hormone agonist triggering of final follicular maturation for in vitro fertilization.,2015-02-16,"These Views and Reviews articles examine the use of GnRH agonist for triggering the final stage of follicular maturation in IVF, resulting in excellent follicle maturation. An advantage of the GnRH agonist trigger is the ability to retrieve oocytes in high responders, yet markedly reducing the risk of ovarian hyperstimulation syndrome (OHSS). However, the induction of early luteolysis after the GnRH agonist trigger requires the use of aggressive steroidal luteal support or low-dose hCG to allow successful fresh ET and live birth. With the enhanced effectiveness of vitrification, segmentation in GnRH agonist-triggered cycles with freezing all embryos for transfer in subsequent cycles may be the optimal strategy for eliminating OHSS.","Female|Fertility Agents, Female|Fertilization in Vitro|Gonadotropin-Releasing Hormone|Humans|Ovarian Follicle|Ovulation Induction|Pregnancy|Pregnancy Rate"
25679536,"Focus on the good, the bad and the unknown: genomics-enabled discovery of plant-associated microbial processes and diversity.",2015-02-14,"MPMI has played a leading role in disseminating new insights into plant-microbe interactions and promoting new approaches. Articles in this Focus Issue highlight the power of genomic studies in uncovering novel determinants of plant interactions with microbial symbionts (good), pathogens (bad), and complex microbial communities (unknown). Many articles also illustrate how genomics can support translational research by quickly advancing our knowledge of important microbes that have not been widely studied. Click on Next Article or Table of Contents above to view the articles in this Focus Issue. (From the mobile site, go to the MPMI March 2015 issue.).",Bacteria|Biodiversity|Fungi|Genomics|Host-Pathogen Interactions|Plant Diseases|Plants|Symbiosis
25676908,Failed back surgery syndrome: foreword.,2015-02-14,"The solution to the failed back syndrome will come from the surgeon who masters the technology, the pathology and the surgery and who understands the patient. The back is normally dynamic and the failed back is no longer dynamic. The multimodality approach has validity and requires attention to the brain as well as the local pain site. Neuro-augmentation is a variable but critical component of pain control. Welfare systems that promote disability may undermine successful therapy. Solutions to great problems usually come from men who are passionate, observing and skilful.","Electric Stimulation Therapy|Failed Back Surgery Syndrome|History, 20th Century|Humans|Neurosurgical Procedures|Pain|Pain Management"
"25675994
21967564
28543675
0
9046561
21731172
15744472
21980259
25620663
20644653
16221017
21127732
18414595
24653527
25470657
25438748
18410216
18605845
20455618
21480704
24490890
23421841
16999812
16402866
20126298
18370618",What can we learn from the study of Mexican-origin families in the United States?,2015-02-14,"Mexican-origin families are a large and rapidly increasing subgroup of the U.S. population, but they remain underrepresented in family scholarship. This paper introduces a special section of four papers on Mexican-origin families designed to contribute to the advancement of research on how cultural, family, and gender socialization processes unfold across key developmental periods and life transitions in this cultural context. Two longitudinal studies of Mexican-origin families provided the data for these four papers: (a) The Juntos Project, an 8-year longitudinal study of mothers, fathers, and adolescent sibling pairs in 246 Mexican-origin families; and (b) The Supporting MAMI Project, a study following 204 adolescent mothers and their mother figures from the third trimester of pregnancy through their young children's 5th birthdays. In this introductory paper, we highlight four themes, including (a) differential acculturation and reciprocal socialization, (b) interdependence in families, (c) the intersection of culture and gender, and (d) methodological issues. We end with suggestions for future research.",Acculturation|Adolescent|Adult|Female|Humans|Longitudinal Studies|Male|Mexican Americans|Mexico|Nuclear Family|Parenting|Pregnancy|Sex Factors|Social Values|Socialization|United States|Young Adult
